,data_dict,delta_Hmix,delta_Smix,delta_R,VECmix,Tmix,Omiga,is_stable,phase
55,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.2}",-12.77,12.329,4.491,9.15,1390.32,1.342,True,FCC
58,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.25}",-15.42,12.566,4.746,8.75,1381.462,1.126,True,FCC
59,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.2}",-15.08,12.482,4.459,8.75,1375.282,1.138,True,FCC
60,"{""Pd"": 0.05, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.15}",-14.78,12.224,4.074,8.75,1369.102,1.132,True,FCC
74,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.05, ""Ag"": 0.3, ""Cu"": 0.35}",-7.93,11.43,5.123,10.3,1494.523,2.154,True,FCC
75,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.3}",-7.34,11.43,5.0,10.3,1488.342,2.318,True,FCC
76,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.25, ""Cu"": 0.35}",-10.84,11.977,5.077,9.9,1479.485,1.635,True,FCC
77,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.3}",-10.26,12.047,4.959,9.9,1473.305,1.73,True,FCC
78,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.25}",-9.72,11.977,4.765,9.9,1467.125,1.808,True,FCC
79,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.15, ""Ag"": 0.2, ""Cu"": 0.35}",-13.67,12.224,5.03,9.5,1464.448,1.31,True,FCC
80,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.3}",-13.1,12.377,4.917,9.5,1458.268,1.378,True,FCC
81,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.25}",-12.57,12.377,4.728,9.5,1452.088,1.43,True,FCC
82,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.2}",-12.08,12.224,4.455,9.5,1445.907,1.463,True,FCC
84,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.3}",-15.86,12.482,4.875,9.1,1443.23,1.136,True,FCC
85,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.25}",-15.34,12.566,4.69,9.1,1437.05,1.177,True,FCC
86,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.2}",-14.86,12.482,4.421,9.1,1430.87,1.202,True,FCC
87,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.15}",-14.42,12.224,4.055,9.1,1424.69,1.208,True,FCC
107,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.05, ""Ag"": 0.25, ""Cu"": 0.35}",-9.22,11.43,4.982,10.25,1535.073,1.903,True,FCC
108,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.05, ""Ag"": 0.3, ""Cu"": 0.3}",-8.5,11.499,4.882,10.25,1528.892,2.068,True,FCC
109,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.25}",-7.82,11.43,4.706,10.25,1522.712,2.226,True,FCC
110,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.1, ""Ag"": 0.2, ""Cu"": 0.35}",-12.52,11.894,4.932,9.85,1520.035,1.444,True,FCC
111,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.1, ""Ag"": 0.25, ""Cu"": 0.3}",-11.81,12.047,4.838,9.85,1513.855,1.544,True,FCC
112,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.25}",-11.14,12.047,4.667,9.85,1507.675,1.63,True,FCC
113,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.2}",-10.51,11.894,4.412,9.85,1501.495,1.699,True,FCC
114,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.15, ""Ag"": 0.15, ""Cu"": 0.35}",-15.74,12.035,4.881,9.45,1504.997,1.151,True,FCC
115,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.15, ""Ag"": 0.2, ""Cu"": 0.3}",-15.04,12.293,4.793,9.45,1498.817,1.225,True,FCC
116,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.25}",-14.38,12.377,4.627,9.45,1492.637,1.285,True,FCC
117,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.2}",-13.76,12.293,4.376,9.45,1486.458,1.328,True,FCC
118,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.15}",-13.18,12.035,4.029,9.45,1480.277,1.352,True,FCC
123,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.15}",-16.36,12.293,3.996,9.05,1465.24,1.101,True,FCC
143,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.05, ""Ag"": 0.2, ""Cu"": 0.35}",-10.49,11.277,4.825,10.2,1575.623,1.694,True,FCC
144,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.05, ""Ag"": 0.25, ""Cu"": 0.3}",-9.64,11.43,4.751,10.2,1569.442,1.861,True,FCC
145,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.05, ""Ag"": 0.3, ""Cu"": 0.25}",-8.83,11.43,4.599,10.2,1563.262,2.024,True,FCC
146,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.2}",-8.06,11.277,4.363,10.2,1557.082,2.179,True,FCC
147,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.1, ""Ag"": 0.15, ""Cu"": 0.35}",-14.18,11.635,4.771,9.8,1560.585,1.28,True,FCC
148,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.1, ""Ag"": 0.2, ""Cu"": 0.3}",-13.34,11.894,4.703,9.8,1554.405,1.386,True,FCC
149,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.1, ""Ag"": 0.25, ""Cu"": 0.25}",-12.54,11.977,4.556,9.8,1548.225,1.479,True,FCC
150,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.2}",-11.78,11.894,4.324,9.8,1542.045,1.557,True,FCC
151,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.15}",-11.06,11.635,3.997,9.8,1535.865,1.616,True,FCC
154,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.2, ""Cu"": 0.25}",-16.17,12.224,4.512,9.4,1533.188,1.159,True,FCC
155,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.2}",-15.42,12.224,4.285,9.4,1527.008,1.211,True,FCC
156,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.15}",-14.71,12.035,3.961,9.4,1520.828,1.244,True,FCC
157,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.1}",-14.04,11.635,3.518,9.4,1514.648,1.255,True,FCC
180,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.35}",-7.96,11.635,5.396,9.65,1331.798,1.947,True,FCC
181,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.35}",-9.5,11.894,5.358,9.25,1316.76,1.649,True,FCC
182,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.3}",-9.37,11.894,5.186,9.25,1310.58,1.664,True,FCC
183,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.35}",-10.96,11.977,5.318,8.85,1301.722,1.423,True,FCC
184,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.3}",-10.84,12.047,5.151,8.85,1295.542,1.44,True,FCC
185,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.25}",-10.76,11.977,4.91,8.85,1289.362,1.435,True,FCC
186,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.35}",-12.34,11.894,5.278,8.45,1286.685,1.24,True,FCC
187,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.3}",-12.23,12.047,5.116,8.45,1280.505,1.261,True,FCC
188,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.25}",-12.16,12.047,4.879,8.45,1274.325,1.262,True,FCC
189,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.2}",-12.13,11.894,4.558,8.45,1268.145,1.243,True,FCC
191,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.3}",-13.54,11.894,5.08,8.05,1265.468,1.112,True,FCC
192,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.25}",-13.48,11.977,4.847,8.05,1259.288,1.119,True,FCC
193,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.2}",-13.46,11.894,4.53,8.05,1253.108,1.107,True,FCC
195,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.35}",-8.0,11.853,5.325,10.0,1387.385,2.056,True,FCC
196,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.35}",-10.01,12.252,5.284,9.6,1372.348,1.68,True,FCC
197,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.3}",-9.74,12.252,5.13,9.6,1366.168,1.719,True,FCC
198,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.35}",-11.94,12.441,5.243,9.2,1357.31,1.414,True,FCC
199,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.3}",-11.68,12.511,5.093,9.2,1351.13,1.447,True,FCC
200,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.25}",-11.46,12.441,4.869,9.2,1344.95,1.46,True,FCC
201,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.35}",-13.79,12.441,5.2,8.8,1342.272,1.211,True,FCC
202,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.3}",-13.54,12.595,5.056,8.8,1336.092,1.243,True,FCC
203,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.25}",-13.33,12.595,4.836,8.8,1329.912,1.257,True,FCC
204,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.2}",-13.16,12.441,4.533,8.8,1323.732,1.251,True,FCC
216,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.35}",-7.16,11.635,5.247,10.35,1442.973,2.345,True,FCC
217,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.35}",-9.64,12.252,5.204,9.95,1427.935,1.815,True,FCC
218,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.3}",-9.23,12.252,5.068,9.95,1421.755,1.887,True,FCC
219,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.35}",-12.04,12.582,5.16,9.55,1412.897,1.477,True,FCC
220,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.3}",-11.64,12.652,5.029,9.55,1406.718,1.529,True,FCC
221,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.25}",-11.28,12.582,4.822,9.55,1400.538,1.562,True,FCC
222,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.35}",-14.36,12.687,5.115,9.15,1397.86,1.235,True,FCC
223,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.3}",-13.97,12.841,4.989,9.15,1391.68,1.279,True,FCC
224,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.25}",-13.62,12.841,4.787,9.15,1385.5,1.306,True,FCC
225,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.2}",-13.31,12.687,4.501,9.15,1379.32,1.315,True,FCC
228,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.25}",-15.88,12.925,4.751,8.75,1370.462,1.115,True,FCC
229,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.2}",-15.58,12.841,4.469,8.75,1364.282,1.124,True,FCC
230,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.15}",-15.32,12.582,4.091,8.75,1358.102,1.115,True,FCC
244,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.05, ""Ag"": 0.3, ""Cu"": 0.35}",-8.39,11.894,5.117,10.3,1483.522,2.103,True,FCC
245,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.3}",-7.84,11.894,4.999,10.3,1477.342,2.241,True,FCC
246,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.1, ""Ag"": 0.25, ""Cu"": 0.35}",-11.26,12.441,5.071,9.9,1468.485,1.623,True,FCC
247,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.3}",-10.72,12.511,4.957,9.9,1462.305,1.707,True,FCC
248,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.1, ""Ag"": 0.35, ""Cu"": 0.25}",-10.22,12.441,4.768,9.9,1456.125,1.773,True,FCC
249,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.2, ""Cu"": 0.35}",-14.05,12.687,5.023,9.5,1453.447,1.312,True,FCC
250,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.25, ""Cu"": 0.3}",-13.52,12.841,4.915,9.5,1447.268,1.375,True,FCC
251,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.3, ""Cu"": 0.25}",-13.03,12.841,4.731,9.5,1441.088,1.42,True,FCC
252,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.15, ""Ag"": 0.35, ""Cu"": 0.2}",-12.58,12.687,4.464,9.5,1434.907,1.447,True,FCC
254,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.3}",-16.24,12.946,4.872,9.1,1432.23,1.142,True,FCC
255,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.25}",-15.76,13.03,4.693,9.1,1426.05,1.179,True,FCC
256,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.2}",-15.32,12.946,4.43,9.1,1419.87,1.2,True,FCC
257,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.15}",-14.92,12.687,4.07,9.1,1413.69,1.202,True,FCC
277,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.05, ""Ag"": 0.25, ""Cu"": 0.35}",-9.6,11.977,4.973,10.25,1524.073,1.901,True,FCC
278,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.05, ""Ag"": 0.3, ""Cu"": 0.3}",-8.92,12.047,4.879,10.25,1517.892,2.05,True,FCC
279,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.05, ""Ag"": 0.35, ""Cu"": 0.25}",-8.28,11.977,4.708,10.25,1511.712,2.187,True,FCC
280,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.2, ""Cu"": 0.35}",-12.86,12.441,4.923,9.85,1509.035,1.46,True,FCC
281,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.25, ""Cu"": 0.3}",-12.19,12.595,4.834,9.85,1502.855,1.553,True,FCC
282,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.1, ""Ag"": 0.3, ""Cu"": 0.25}",-11.56,12.595,4.669,9.85,1496.675,1.631,True,FCC
