,data_dict,delta_Hmix,delta_Smix,delta_R,VECmix,Tmix,Omiga,is_stable,phase
95,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.3}",-21.14,12.047,4.787,8.3,1413.155,0.805,False,
96,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.25}",-20.64,12.377,4.611,8.3,1406.975,0.844,False,
97,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.2}",-20.18,12.482,4.351,8.3,1400.795,0.866,False,
98,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.15}",-19.76,12.377,3.993,8.3,1394.615,0.874,False,
99,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.1}",-19.38,12.047,3.509,8.3,1388.435,0.863,False,
100,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.05}",-19.04,11.43,2.842,8.3,1382.255,0.83,False,
101,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.3}",-23.66,11.43,4.741,7.9,1398.118,0.675,False,
102,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.25}",-23.17,11.977,4.571,7.9,1391.938,0.72,False,
103,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.2}",-22.72,12.224,4.315,7.9,1385.758,0.746,False,
104,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.15}",-22.31,12.224,3.96,7.9,1379.578,0.756,False,
105,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.1}",-21.94,11.977,3.48,7.9,1373.398,0.75,False,
106,"{""Pd"": 0.05, ""Pt"": 0.25, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.05}",-21.61,11.43,2.815,7.9,1367.218,0.723,False,
119,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.1, ""Cu"": 0.35}",-18.88,11.894,4.829,9.05,1489.96,0.939,False,
120,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.15, ""Cu"": 0.3}",-18.19,12.293,4.747,9.05,1483.78,1.003,False,
121,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.25}",-17.54,12.482,4.585,9.05,1477.6,1.052,False,
122,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.2}",-16.93,12.482,4.339,9.05,1471.42,1.085,False,
124,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.1}",-15.83,11.894,3.531,9.05,1459.06,1.096,False,
125,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.05, ""Cu"": 0.35}",-21.94,11.43,4.777,8.65,1474.922,0.768,False,
126,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.1, ""Cu"": 0.3}",-21.26,12.047,4.7,8.65,1468.742,0.832,False,
127,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.25}",-20.62,12.377,4.543,8.65,1462.562,0.878,False,
128,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.2}",-20.02,12.482,4.302,8.65,1456.382,0.908,False,
129,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.15}",-19.46,12.377,3.963,8.65,1450.202,0.922,False,
130,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.1}",-18.94,12.047,3.501,8.65,1444.023,0.918,False,
131,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.05}",-18.46,11.43,2.862,8.65,1437.843,0.89,False,
132,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.05, ""Cu"": 0.3}",-24.25,11.499,4.652,8.25,1453.705,0.689,False,
133,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.25}",-23.62,12.047,4.5,8.25,1447.525,0.738,False,
134,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.2}",-23.03,12.293,4.263,8.25,1441.345,0.769,False,
135,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.15}",-22.48,12.293,3.928,8.25,1435.165,0.785,False,
136,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.1}",-21.97,12.047,3.47,8.25,1428.985,0.784,False,
137,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.05}",-21.5,11.499,2.834,8.25,1422.805,0.761,False,
138,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.25}",-26.54,11.43,4.456,7.85,1432.488,0.617,False,
139,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.2}",-25.96,11.894,4.224,7.85,1426.308,0.653,False,
140,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.15}",-25.42,12.035,3.893,7.85,1420.128,0.672,False,
141,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.1}",-24.92,11.894,3.438,7.85,1413.948,0.675,False,
142,"{""Pd"": 0.05, ""Pt"": 0.3, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.05}",-24.46,11.43,2.804,7.85,1407.768,0.658,False,
152,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.1, ""Cu"": 0.35}",-17.79,11.635,4.716,9.4,1545.548,1.011,False,
153,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.15, ""Ag"": 0.15, ""Cu"": 0.3}",-16.96,12.035,4.655,9.4,1539.367,1.092,False,
158,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.05, ""Cu"": 0.35}",-21.32,11.277,4.66,9.0,1530.51,0.81,False,
159,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.1, ""Cu"": 0.3}",-20.5,11.894,4.605,9.0,1524.33,0.884,False,
160,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.15, ""Cu"": 0.25}",-19.72,12.224,4.468,9.0,1518.15,0.941,False,
161,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.2}",-18.98,12.329,4.245,9.0,1511.97,0.982,False,
162,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.15}",-18.28,12.224,3.925,9.0,1505.79,1.007,False,
163,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.3, ""Cu"": 0.1}",-17.62,11.894,3.485,9.0,1499.61,1.012,False,
164,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.2, ""Ag"": 0.35, ""Cu"": 0.05}",-17.0,11.277,2.874,9.0,1493.43,0.991,False,
165,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.05, ""Cu"": 0.3}",-23.96,11.43,4.553,8.6,1509.292,0.72,False,
166,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.1, ""Cu"": 0.25}",-23.19,11.977,4.422,8.6,1503.113,0.776,False,
167,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.2}",-22.46,12.224,4.204,8.6,1496.932,0.815,False,
168,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.15}",-21.77,12.224,3.888,8.6,1490.753,0.837,False,
169,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.1}",-21.12,11.977,3.452,8.6,1484.573,0.842,False,
170,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.05}",-20.51,11.43,2.843,8.6,1478.392,0.824,False,
171,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.3, ""Ag"": 0.05, ""Cu"": 0.25}",-26.58,11.43,4.375,8.2,1488.075,0.64,False,
172,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.2}",-25.86,11.894,4.162,8.2,1481.895,0.682,False,
173,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.15}",-25.18,12.035,3.851,8.2,1475.715,0.705,False,
174,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.1}",-24.54,11.894,3.417,8.2,1469.535,0.712,False,
175,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.05}",-23.94,11.43,2.81,8.2,1463.355,0.699,False,
176,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.2}",-29.18,11.277,4.119,7.8,1466.858,0.567,False,
177,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.15}",-28.51,11.635,3.812,7.8,1460.678,0.596,False,
178,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.1}",-27.88,11.635,3.381,7.8,1454.498,0.607,False,
179,"{""Pd"": 0.05, ""Pt"": 0.35, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.05}",-27.29,11.277,2.777,7.8,1448.318,0.598,False,
190,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.35}",-13.64,11.635,5.237,8.05,1271.648,1.085,False,
194,"{""Pd"": 0.1, ""Pt"": 0.05, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.15}",-13.48,11.635,4.112,8.05,1246.927,1.076,False,
205,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.35}",-15.56,12.252,5.157,8.4,1327.235,1.045,False,
206,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.3}",-15.32,12.511,5.017,8.4,1321.055,1.079,False,
207,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.25}",-15.12,12.595,4.802,8.4,1314.875,1.095,False,
208,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.2}",-14.96,12.511,4.503,8.4,1308.695,1.094,False,
209,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.15}",-14.84,12.252,4.105,8.4,1302.515,1.075,False,
210,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.35}",-17.25,11.853,5.113,8.0,1312.198,0.902,False,
211,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.3}",-17.02,12.252,4.978,8.0,1306.018,0.94,False,
212,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.25}",-16.83,12.441,4.767,8.0,1299.838,0.961,False,
213,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.2}",-16.68,12.441,4.472,8.0,1293.658,0.965,False,
214,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.15}",-16.57,12.252,4.078,8.0,1287.478,0.952,False,
215,"{""Pd"": 0.1, ""Pt"": 0.1, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.1}",-16.5,11.853,3.554,8.0,1281.298,0.92,False,
226,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.35}",-16.6,12.582,5.07,8.75,1382.822,1.048,False,
227,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.3}",-16.22,12.841,4.948,8.75,1376.642,1.09,False,
231,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.35}",-18.76,12.252,5.023,8.35,1367.785,0.893,False,
232,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.3}",-18.39,12.652,4.907,8.35,1361.605,0.937,False,
233,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.25}",-18.06,12.841,4.714,8.35,1355.425,0.964,False,
234,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.2}",-17.77,12.841,4.437,8.35,1349.245,0.975,False,
235,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.15}",-17.52,12.652,4.062,8.35,1343.065,0.97,False,
236,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.1}",-17.31,12.252,3.561,8.35,1336.885,0.946,False,
237,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.35}",-20.84,11.635,4.975,7.95,1352.748,0.755,False,
238,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.3}",-20.48,12.252,4.864,7.95,1346.568,0.806,False,
239,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.25}",-20.16,12.582,4.676,7.95,1340.388,0.837,False,
240,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.2}",-19.88,12.687,4.403,7.95,1334.208,0.851,False,
241,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.15}",-19.64,12.582,4.032,7.95,1328.028,0.851,False,
242,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.1}",-19.44,12.252,3.535,7.95,1321.848,0.833,False,
243,"{""Pd"": 0.1, ""Pt"": 0.15, ""Al"": 0.35, ""Ag"": 0.35, ""Cu"": 0.05}",-19.28,11.635,2.851,7.95,1315.668,0.794,False,
253,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.2, ""Ag"": 0.15, ""Cu"": 0.35}",-16.76,12.687,4.975,9.1,1438.41,1.089,False,
258,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.1, ""Cu"": 0.35}",-19.39,12.441,4.925,8.7,1423.372,0.913,False,
259,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.3}",-18.88,12.841,4.828,8.7,1417.192,0.964,False,
260,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.25}",-18.41,13.03,4.653,8.7,1411.012,0.999,False,
261,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.2}",-17.98,13.03,4.395,8.7,1404.832,1.018,False,
262,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.15}",-17.59,12.841,4.039,8.7,1398.653,1.021,False,
263,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.1}",-17.24,12.441,3.561,8.7,1392.472,1.005,False,
264,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.05, ""Cu"": 0.35}",-21.94,11.894,4.875,8.3,1408.335,0.763,False,
265,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.3}",-21.44,12.511,4.783,8.3,1402.155,0.818,False,
266,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.25}",-20.98,12.841,4.613,8.3,1395.975,0.854,False,
267,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.2, ""Cu"": 0.2}",-20.56,12.946,4.359,8.3,1389.795,0.875,False,
268,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.25, ""Cu"": 0.15}",-20.18,12.841,4.007,8.3,1383.615,0.88,False,
269,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.3, ""Cu"": 0.1}",-19.84,12.511,3.532,8.3,1377.435,0.869,False,
270,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.3, ""Ag"": 0.35, ""Cu"": 0.05}",-19.54,11.894,2.878,8.3,1371.255,0.835,False,
271,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.05, ""Cu"": 0.3}",-23.92,11.894,4.737,7.9,1387.118,0.69,False,
272,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.1, ""Cu"": 0.25}",-23.47,12.441,4.572,7.9,1380.938,0.732,False,
273,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.15, ""Cu"": 0.2}",-23.06,12.687,4.322,7.9,1374.758,0.756,False,
274,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.2, ""Cu"": 0.15}",-22.69,12.687,3.975,7.9,1368.577,0.765,False,
275,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.25, ""Cu"": 0.1}",-22.36,12.441,3.503,7.9,1362.398,0.758,False,
276,"{""Pd"": 0.1, ""Pt"": 0.2, ""Al"": 0.35, ""Ag"": 0.3, ""Cu"": 0.05}",-22.07,11.894,2.851,7.9,1356.218,0.731,False,
289,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.1, ""Cu"": 0.35}",-19.14,12.441,4.819,9.05,1478.96,0.961,False,
290,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.15, ""Cu"": 0.3}",-18.49,12.841,4.742,9.05,1472.78,1.023,False,
291,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.2, ""Cu"": 0.25}",-17.88,13.03,4.586,9.05,1466.6,1.069,False,
292,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.2, ""Ag"": 0.25, ""Cu"": 0.2}",-17.31,13.03,4.346,9.05,1460.42,1.099,False,
295,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.05, ""Cu"": 0.35}",-22.16,11.977,4.766,8.65,1463.922,0.791,False,
296,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.1, ""Cu"": 0.3}",-21.52,12.595,4.695,8.65,1457.742,0.853,False,
297,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.15, ""Cu"": 0.25}",-20.92,12.925,4.544,8.65,1451.562,0.897,False,
298,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.2, ""Cu"": 0.2}",-20.36,13.03,4.308,8.65,1445.382,0.925,False,
299,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.25, ""Cu"": 0.15}",-19.84,12.925,3.976,8.65,1439.202,0.938,False,
300,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.3, ""Cu"": 0.1}",-19.36,12.595,3.522,8.65,1433.023,0.932,False,
301,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.25, ""Ag"": 0.35, ""Cu"": 0.05}",-18.92,11.977,2.896,8.65,1426.843,0.903,False,
302,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.05, ""Cu"": 0.3}",-24.47,12.047,4.646,8.25,1442.705,0.71,False,
303,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.1, ""Cu"": 0.25}",-23.88,12.595,4.5,8.25,1436.525,0.758,False,
304,"{""Pd"": 0.1, ""Pt"": 0.25, ""Al"": 0.3, ""Ag"": 0.15, ""Cu"": 0.2}",-23.33,12.841,4.269,8.25,1430.345,0.787,False,
